date,LAT,LON
2019-03-07 08:33:45.358999,-55.245,-142.34
2019-03-07 08:33:46.360387,-55.038,-142.443
2019-03-07 08:33:47.360728,-54.977,-142.472
2019-03-07 08:33:48.361234,-54.917,-142.502
2019-03-07 08:33:49.361342,-54.856,-142.532
2019-03-07 08:42:08.002882,-24.506,-152.215
2019-03-07 08:42:09.003210,-24.299,-152.263
2019-03-07 08:42:10.003767,-24.237,-152.277
2019-03-07 08:42:11.003968,-24.175,-152.291
2019-03-07 08:42:12.004233,-24.114,-152.306
2019-03-07 08:51:23.057228,9.723,-159.437
2019-03-07 08:51:24.057656,9.924,-159.478
2019-03-07 08:51:25.057991,9.986,-159.491
2019-03-07 08:51:26.058757,10.047,-159.504
2019-03-07 08:51:27.059918,10.109,-159.517
2019-03-07 09:04:03.555527,56.362,-173.106
2019-03-07 09:04:04.557231,56.565,-173.212
2019-03-07 09:04:05.557560,56.625,-173.244
2019-03-07 09:04:06.558403,56.685,-173.276
2019-03-07 09:04:07.558736,56.746,-173.308
2019-03-07 09:06:37.427051,65.558,-179.387
2019-03-07 09:06:38.427840,65.751,-179.563
2019-03-07 09:06:39.428198,65.81,-179.617
2019-03-07 09:06:40.428398,65.868,-179.672
2019-03-07 09:06:41.429103,65.927,-179.726
2019-03-07 09:07:59.780621,70.334,175.291
2019-03-07 09:08:00.782289,70.523,175.029
2019-03-07 09:08:01.782642,70.58,174.949
2019-03-07 09:08:02.782950,70.637,174.868
2019-03-07 09:08:03.783177,70.694,174.787
2019-03-07 09:14:05.780721,80.941,75.13
2019-03-07 09:14:06.781654,80.835,74.02
2019-03-07 09:14:07.782326,80.802,73.685
2019-03-07 09:14:08.782471,80.769,73.352
2019-03-07 09:14:09.783013,80.735,73.022
2019-03-07 09:19:51.241128,62.79,30.186
2019-03-07 09:19:52.242261,62.593,30.04
2019-03-07 09:19:53.242588,62.534,29.996
2019-03-07 09:19:54.243054,62.474,29.953
2019-03-07 09:19:55.243948,62.415,29.909
2019-03-07 09:22:03.563539,54.85,25.416
2019-03-07 09:22:04.564873,54.649,25.318
2019-03-07 09:22:05.565201,54.589,25.289
2019-03-07 09:22:06.565742,54.528,25.26
2019-03-07 09:22:07.566290,54.467,25.231
2019-03-07 09:22:37.279579,52.811,24.462
2019-03-07 09:22:42.281013,52.364,24.263
2019-03-07 09:22:47.281363,52.061,24.13
2019-03-07 09:22:52.282354,51.758,23.999
2019-03-07 09:22:57.282874,51.454,23.869
2019-03-07 10:30:28.533719,19.385,174.38
2019-03-07 10:30:33.534668,19.864,174.274
2019-03-07 10:30:38.534972,20.172,174.205
2019-03-07 10:30:43.535091,20.48,174.137
2019-03-07 10:30:48.535391,20.788,174.068
2019-03-07 10:38:55.937436,50.548,165.468
2019-03-07 10:38:56.938121,50.751,165.384
2019-03-07 10:38:57.938446,50.812,165.358
2019-03-07 10:38:58.939191,50.873,165.333
2019-03-07 10:38:59.939534,50.934,165.308
2019-03-07 10:41:20.988711,59.319,161.11
2019-03-07 10:41:21.989387,59.523,160.985
2019-03-07 10:41:22.990109,59.583,160.948
2019-03-07 10:41:23.990476,59.643,160.911
2019-03-07 10:41:24.990803,59.703,160.873
2019-03-07 10:42:35.152969,63.747,158.034
2019-03-07 10:42:36.153233,63.947,157.873
2019-03-07 10:42:37.153979,64.006,157.825
2019-03-07 10:42:38.154437,64.066,157.777
2019-03-07 10:42:39.154686,64.125,157.729
2019-03-07 10:43:58.781270,68.656,153.306
2019-03-07 10:45:51.557220,74.956,142.757
2019-03-07 10:55:21.909092,66.197,8.939
2019-03-07 10:56:07.941069,63.48,6.596
2019-03-07 11:01:06.227116,45.467,-2.549
2019-03-07 11:24:16.700362,-39.966,-22.889
2019-03-08 05:39:13.908228,-13.557,-108.166
2019-03-22 10:34:57.411424,0.27,176.017
2019-03-26 06:03:33.642079,-37.667,-110.04
2019-03-26 06:05:04.613749,-32.124,-111.549
2019-03-26 06:11:12.798001,-9.528,-116.683
2019-03-26 06:23:41.261874,36.617,-126.942
2019-03-26 06:26:18.988761,46.257,-129.976
2019-03-26 06:37:56.927035,82.224,143.381
2019-03-26 06:38:22.127142,82.027,132.208
2019-03-26 06:44:37.699719,63.694,69.668
2019-03-26 06:47:02.048646,55.19,64.371
2019-03-26 06:48:17.054294,50.535,62.273
2019-03-26 06:48:52.034637,48.351,61.409
2019-03-26 06:50:49.600973,41.238,58.969
2019-03-26 06:51:14.005662,40.004,58.59
2019-03-26 06:53:24.889530,31.74,56.296
2019-03-26 06:55:42.960656,23.135,54.213
2019-03-26 06:56:20.709537,20.809,53.686
2019-03-26 06:57:06.512869,18.011,53.067
2019-03-26 08:17:25.928657,76.142,64.029
2019-03-26 08:18:21.716303,73.165,57.019
2019-03-26 08:20:22.067920,66.283,47.806
2019-03-26 08:21:32.351155,62.126,44.368
2019-03-26 08:23:00.736177,57.004,41.192
2019-03-26 08:24:45.513080,50.477,38.132
2019-03-26 08:26:20.091432,44.703,35.978
2019-03-26 08:27:10.084336,41.729,35.005
2019-03-26 08:29:03.992395,34.653,32.946
2019-03-26 08:30:07.037837,30.83,31.945
2019-03-26 08:30:27.048574,29.546,31.623
2019-03-26 08:31:23.738908,26.09,30.784
2019-03-26 08:33:48.019071,17.183,28.769
2019-03-26 08:34:18.570411,15.284,28.359
2019-03-26 08:34:54.233959,13.082,27.891
2019-03-26 08:36:03.541938,8.808,26.996
2019-03-26 08:37:27.177931,3.653,25.936
2019-03-26 08:39:04.499759,-2.166,24.747
2019-03-26 08:41:44.071472,-12.193,22.676
2019-03-26 08:46:04.500328,-28.04,19.125
2019-03-26 08:50:11.408339,-43.37,14.845
2019-03-26 08:51:29.387102,-47.922,13.248
2019-03-26 08:52:28.756689,-51.678,11.741
2019-03-26 08:56:09.965954,-65.005,3.736
2019-03-26 09:00:21.824337,-78.715,-23.44
2019-03-26 09:01:05.918553,-80.474,-34.887
2019-03-26 09:10:15.657836,-60.344,-148.898
2019-03-26 09:11:06.400718,-57.302,-150.703
2019-03-26 10:46:21.748608,-61.688,-172.115
2019-03-26 10:57:12.379083,-22.04,173.665
2019-03-26 10:58:32.632157,-17.104,172.571
2019-03-26 11:01:54.147608,-4.889,170.006
2019-03-26 11:03:11.556673,0.055,168.995
2019-03-26 11:03:39.124167,1.763,168.646
2019-03-26 11:04:11.094083,3.724,168.245
2019-03-26 11:05:05.189650,7.007,167.571
2019-03-26 11:11:16.480097,29.874,162.487
2019-03-26 11:16:13.694133,48.081,157.001
2019-03-26 11:17:10.083177,51.525,155.62
2019-03-26 11:20:58.479543,65.232,147.351
2019-03-26 11:25:09.629278,78.889,119.488
2019-03-26 11:25:44.003015,80.3,110.391
2019-03-26 11:27:08.918282,82.21,77.012
2019-03-26 11:29:49.783366,77.767,21.351
